Frame,Step_1_Model_Output,Step_3_Threshold,Step_4_Comparison,Step_5_Decision,Confidence_Score,Confidence_Level,Math_Explanation
frame_0000.png,0.320992828,0.5,0.3210 < 0.5,Normal,0.358014344,Low (<40%),Model Output: 0.3210 → Compare with 0.5 → Normal (Confidence: 35.8%)
frame_0001.png,0.431651645,0.5,0.4317 < 0.5,Normal,0.13669671000000005,Low (<40%),Model Output: 0.4317 → Compare with 0.5 → Normal (Confidence: 13.7%)
frame_0002.png,0.437530895,0.5,0.4375 < 0.5,Normal,0.12493821000000005,Low (<40%),Model Output: 0.4375 → Compare with 0.5 → Normal (Confidence: 12.5%)
frame_0003.png,0.369936025,0.5,0.3699 < 0.5,Normal,0.26012795,Low (<40%),Model Output: 0.3699 → Compare with 0.5 → Normal (Confidence: 26.0%)
frame_0004.png,0.447501728,0.5,0.4475 < 0.5,Normal,0.10499654400000002,Low (<40%),Model Output: 0.4475 → Compare with 0.5 → Normal (Confidence: 10.5%)
frame_0005.png,0.522919062,0.5,0.5229 >= 0.5,Diseased,0.04583812400000009,Low (<40%),Model Output: 0.5229 → Compare with 0.5 → Diseased (Confidence: 4.6%)
frame_0006.png,0.396549349,0.5,0.3965 < 0.5,Normal,0.206901302,Low (<40%),Model Output: 0.3965 → Compare with 0.5 → Normal (Confidence: 20.7%)
frame_0007.png,0.386945403,0.5,0.3869 < 0.5,Normal,0.22610919399999996,Low (<40%),Model Output: 0.3869 → Compare with 0.5 → Normal (Confidence: 22.6%)
frame_0008.png,0.353042525,0.5,0.3530 < 0.5,Normal,0.29391495,Low (<40%),Model Output: 0.3530 → Compare with 0.5 → Normal (Confidence: 29.4%)
frame_0009.png,0.526068123,0.5,0.5261 >= 0.5,Diseased,0.05213624600000011,Low (<40%),Model Output: 0.5261 → Compare with 0.5 → Diseased (Confidence: 5.2%)
frame_0010.png,0.39523702,0.5,0.3952 < 0.5,Normal,0.20952596,Low (<40%),Model Output: 0.3952 → Compare with 0.5 → Normal (Confidence: 21.0%)
frame_0011.png,0.464387301,0.5,0.4644 < 0.5,Normal,0.07122539800000005,Low (<40%),Model Output: 0.4644 → Compare with 0.5 → Normal (Confidence: 7.1%)
frame_0012.png,0.419632428,0.5,0.4196 < 0.5,Normal,0.160735144,Low (<40%),Model Output: 0.4196 → Compare with 0.5 → Normal (Confidence: 16.1%)
frame_0013.png,0.42488665,0.5,0.4249 < 0.5,Normal,0.15022670000000005,Low (<40%),Model Output: 0.4249 → Compare with 0.5 → Normal (Confidence: 15.0%)
frame_0014.png,0.44407886,0.5,0.4441 < 0.5,Normal,0.11184227999999996,Low (<40%),Model Output: 0.4441 → Compare with 0.5 → Normal (Confidence: 11.2%)
frame_0015.png,0.415670517,0.5,0.4157 < 0.5,Normal,0.16865896599999997,Low (<40%),Model Output: 0.4157 → Compare with 0.5 → Normal (Confidence: 16.9%)
frame_0016.png,0.450264861,0.5,0.4503 < 0.5,Normal,0.09947027799999997,Low (<40%),Model Output: 0.4503 → Compare with 0.5 → Normal (Confidence: 9.9%)
frame_0017.png,0.474236716,0.5,0.4742 < 0.5,Normal,0.051526567999999995,Low (<40%),Model Output: 0.4742 → Compare with 0.5 → Normal (Confidence: 5.2%)
